Database Individual number,Site_code,Sample ID,Site,Region,Subregion,Prefecture,Long,Lat,Phase,Typology,Form,AE,AE TMS,SE,Total lipid yield after AE (μg g-1 ),Range of Saturated fatty acids (Fas),Unsaturated fatty acids,P/S,Branched chain fatty acids,α-ωdicarboxylic acids (diacids),Alkanes,Terpenes,Miliacin,Levoglucosane,α-Tocopherol,TMTD,Pristanic acid,Phytanic acid,SRR,ω-( o-alkylphenyl)alkanoic acids (APAAs),APAA_EH,18_20,d13C16,d13C18,bigD
ENC072,ASA,ASA070IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Bowl,X,,,37,C14:0-C26:0,"C18:1, C20:1, C22:1",1.47,"C15i, a; C16i; C17i, a; C18i",C11-C15,,,,,,yes,no,yes,73,,,,-24.573,-25.165,-0.592
ENC073,ASA,ASA071IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,7,C14:0-C32:0,"C18:1, C22:1",1.07,"C17i, a",,,,,,,yes,no,yes,78.8,,,,-26.179,-27.074,-0.895
ENC074,ASA,ASA072IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,18,C14:0-C32:0,"C18:1, C22:1",1.24,"C15i, a; C16i; C17i, a; C18i",C11-C13,C28-C33,,,,,yes,no,yes,74.7,,,,-27.29,-28.344,-1.054
ENC075,ASA,ASA073IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,14,C14:0-C30:0,"C18:1, C20:1, C22:1",0.81,"C15i, a; C16i; C17i, a",,C28-C31,,,no,no,no,no,no,,,,,-30.055,-30.045,0.01
ENC076,ASA,ASA074IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,yes,,,,,,,
ENC077,ASA,ASA075IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Cooking vessel,X,,,5,,,,,,,,,,,no,no,no,,,,,,,
ENC078,ASA,ASA076IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC079,ASA,ASA077IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,3,,,,,,,,,,,no,no,yes,,,,,,,
ENC080,ASA,ASA078IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,73,C14:0-C34:0,"C18:1, C22:1",0.89,"C15i, a ; C17i, a",,"C27, C29, C31",,,no,no,no,no,no,,,,,-26.236,-25.053,1.183
ENC081,ASA,ASA079IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Jar,X,X,,49,C14:0-C28:0,"C18:1, C20:1, C22:1",0.71,"C15i, a ; C17i, a",,,,,,,no,no,no,,,,,-26.714,-25.678,1.036
ENC082,ASA,ASA080IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Cooking vessel,X,,,16,C14:0-C26:0,"C18:1, C22:1",1.14,"C14i; C15i, a; C16i; C17i, a; C18i",,C27-C32,,,,,no,no,no,,APAA18,,,-29.312,-29.521,-0.209
ENC083,ASA,ASA081IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,55,C14:0-C34:0,"C18:1, C20:1",0.56,"C15i, a (tr); C17i, a (tr)",,,,,,,no,no,no,,,,,-25.632,-24.295,1.337
ENC084,ASA,ASA082IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,9,C14:0-C22:0,C18:1,0.87,"C17i, a",,,,,,,no,no,no,,,,,-29.859,-29.648,0.211
ENC085,ASA,ASA083IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,20,C14:0-C34:0,"C18:1, C22:1",1.04,,,C29-C32,,,no,no,no,no,no,,,,,-29.773,-29.306,0.467
ENC086,ASA,ASA084IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,,64,C14:0-C34:0,C18:1,0.72,,,,,,,,no,no,no,,,,,-26.237,-25.274,0.963
ENC087,ASA,ASA085IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,5,,,,,,,,,,,no,no,no,,,,,,,
ENC088,ASA,ASA086IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,85,C14:0-C34:0,"C18:1, C20:1",0.89,"C14:0i; C15i, a; C16i; C17i, a; C18i",,,,,,,no,no,yes,78.5,,,,-26.388,-25.033,1.355
ENC089,ASA,ASA087IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,19,C14:0-C30:0,"C18:1, C22:1",2.56,"C15i, a; C17i, a",,"C31, C32",,,,,yes,no,yes,58,,,,-22.635,-27.015,-4.38
ENC090,ASA,ASA088IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,50,C14:0-C24:0,"C18:1, C22:1",1.16,"C15i, a; C17i, a",,C26-C35,,,,,no,no,no,,,,,-29.674,-29.884,-0.21
ENC091,ASA,ASA089IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,75,C14:0-C34:0,C18:1,2.58,"C15i, a; C17i, a",,C25-C36 ,,,no,no,yes,no,no,,APAA18,8.2,,-32.147,-32.174,-0.027
ENC092,ASA,ASA090IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,X,,8,C14:0-C28:0,"C18:1, C22:1",0.72,"C14:0i; C15i, a; C16i; C17i, a",,C26-C33,,,,,no,no,no,,,,,-29.82,-29.824,-0.004
ENC093,ASA,ASA091IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,,X,21,C14:0-C22:0,C18:1,0.72,"C15i, a; C17i, a",,C26-C33,,,no,no,no,no,no,,,,,-30.189,-29.838,0.351
ENC094,ASA,ASA092IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC095,ASA,ASA093IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,11,C14:0-C24:0,"C18:1, C22:1",1.08,"C14:0i; C15i, a; C16i; C17i, a; C18i",,,,,,,no,no,no,,,,,-27.213,-28.485,-1.272
