Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC060,ASA,ASA058IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Jokonmon,Jar,ceramic powder,19,-29.548,-29.338,0.21,no,no,no,20.2,,no,no ,,no,no,no,0.66,no,
ENC061,ASA,ASA059IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,21,-29.15,-29.161,-0.011,no,no,no,,,no,no ,,no,no,no,0.58,no,yes
ENC062,ASA,ASA060IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,38,-29.528,-29.71,-0.182,no,no,no,,,no,no ,,no,no,no,0.72,no,yes
ENC063,ASA,ASA061IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,26,-21.882,-25.042,-3.16,yes,no,yes,85.5,,no,no ,,no,no,no,1.54,yes,yes
ENC064,ASA,ASA062IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,9,-28.452,-28.285,0.167,no,no,no,,,no,no ,,no,no,no,0.64,no,
ENC065,ASA,ASA063IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,14,-29.223,-29.272,-0.049,no,yes,no,,,no,no ,,no,no,no,0.71,no,
ENC066,ASA,ASA064IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,8,-28.159,-28.973,-0.814,no,yes,no,,,no,no ,,no,no,no,0.69,no,
ENC067,ASA,ASA065IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Ongagawa,Cooking vessel,ceramic powder,104,-26.706,-26.244,0.462,no,no,no,,4.7,yes,no ,,no,no,no,1.18,no,
ENC068,ASA,ASA066IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Unknown,Jar,ceramic powder,40,-29.898,-30.066,-0.168,no,no,no,,,no,no ,,no,no,no,0.75,no,
ENC069,ASA,ASA067IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Early Yayoi,Early Yayoi (I),,,Jokonmon,Bowl,ceramic powder,23,-28.953,-28.228,0.725,no,yes,no,,,no,no ,,no,no,no,0.80,no,yes
ENC070,ASA,ASA068IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Unknown,Jar,ceramic powder,17,-29.758,-28.686,1.072,no,no,no,,,no,no ,,no,no,no,1.20,no,
ENC071,ASA,ASA069IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Jokonmon,Cooking vessel,ceramic powder,109,-22.28,-21.528,0.752,yes,no,no,,4.4,yes,no ,0.126,yes,yes,no,1.20,no,
ENC072,ASA,ASA070IAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,Middle Yayoi (II),,,Ongagawa,Bowl,ceramic powder,37,-24.573,-25.165,-0.592,yes,no,yes,73.0,,no,no ,,no,no,no,1.47,no,
