"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"Beta-105385","深掘　4層中部　"
"Beta-105386","深掘　4層下部　"
"Beta-105387","96E区　東壁11層"
"Beta-105388","96E区　東壁14層"
"Beta-105389","96Ba区　北側東西トレンチ北壁(P-1)　5層"
"Beta-105390","96Ba区　中央トレンチ西壁(P-2)　10層"
"Beta-105391","96Ba区　東側南北トレンチ西壁(P-3)　9層"
"Beta-106024","SX-1450確認面直上　4層"
"Beta-107726","OTGSR04B"
"Beta-107732","№1　SI-01,№325"
"Beta-107733","№2　SI-01,№466"
"Beta-107734","№3　SI-01,№467"
"Beta-107735","№4　SI-07,№642"
"Beta-107736","№5　SI-07,№643"
"Beta-107737","№6　SI-02,№242"
"Beta-107738","№7　SI-02,№250"
"Beta-107739","№8　SI-02,№258"
"Beta-107740","№9　SI-02,№265"
"Beta-107741","№1　SI-02　№26"
"Beta-108000","試料名:№1　2区5964-c,122-SI(A), 試料名:№1　2区5964-C,122-SI(A)"
"Beta-108057","試料名:№5　№81茎"
"Beta-108058","試料名:№1　1号鏡直下"
"Beta-108060","試料名:№3　銅鏃№27直下"
"Beta-108070","試料名:№1Aトレンチ溝内"
"Beta-108079","試料名:№1　2号堀2T"
"Beta-108080","試料名:№2　1号溝"
"Beta-108081","試料名:№3　柱穴　"
"Beta-108083","試料名:№5　1号住居(煙道部)"
"Beta-108084","試料名:№6　1号住居(カマド部)　"
"Beta-108212","試料名:№1　5区1号木棺墓"
"Beta-109050","№2　SI-07　№224"
"Beta-109051","№3　SI-07　№240"
