"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"MTC-10231","木材,935BC - 931BC"
"MTC-10232","木材,925BC - 921BC"
"MTC-10233","木材,915BC - 911BC"
"MTC-10234","木材,910BC - 906BC"
"MTC-10235","木材,905BC - 901BC"
"MTC-10236","木材,900BC - 896BC"
"MTC-10237","木材,895BC - 891BC"
"MTC-10238","木材,890BC - 886BC"
"MTC-10239","木材,885BC - 881BC"
"MTC-10240","木材,880BC - 876BC"
"MTC-10241","木材,875BC - 871BC"
"MTC-10242","木材,870BC - 866BC"
"MTC-10243","木材,865BC - 861BC"
"MTC-10244","木材,860BC - 856BC"
"MTC-10245","木材,855BC - 851BC"
"MTC-10246","木材,850BC - 846BC"
"MTC-10247","木材,845BC - 841BC"
"MTC-10248","木材,840BC - 836BC"
"MTC-10249","木材,835BC - 831BC"
"MTC-10250","木材,830BC - 826BC"
"MTC-10251","木材,825BC - 821BC"
"MTC-10252","木材,820BC - 816BC"
"MTC-10253","木材,815BC - 811BC"
"MTC-10254","木材,810BC - 806BC"
"MTC-10255","木材,805BC - 801BC"
"MTC-10256","木材,800BC - 796BC"
"MTC-10257","木材,795BC - 791BC"
"MTC-10258","木材,790BC - 786BC"
"MTC-10259","木材,785BC - 781BC"
"MTC-10260","木材,780BC - 776BC"
"MTC-10261","木材,775BC - 771BC"
"MTC-10262","木材,770BC - 766BC"
"MTC-10263","木材,765BC - 761BC"
"MTC-10264","木材,760BC - 756BC"
"MTC-10265","木材,755BC - 751BC"
"MTC-10266","木材,750BC - 746BC"
"MTC-10267","木材,745BC - 741BC"
"MTC-10268","木材,740BC - 736BC"
"MTC-10269","木材,735BC - 731BC"
"MTC-10270","木材,730BC - 726BC"
"MTC-10271","木材,725BC - 721BC"
"MTC-10272","木材,720BC - 716BC"
"MTC-10273","木材,715BC - 711BC"
"MTC-10274","木材,710BC - 706BC"
"MTC-10275","木材,705BC - 701BC"
"MTC-10276","木材,700BC - 696BC"
"MTC-10277","木材,695BC - 691BC"
"MTC-10278","木材,690BC - 686BC"
"MTC-10279","木材,685BC - 681BC"
"MTC-10280","木材,680BC - 676BC"
"MTC-10281","木材,675BC - 671BC"
"MTC-10282","木材,670BC - 666BC"
"MTC-10283","木材,665BC - 661BC"
"MTC-10284","木材,660BC - 656BC"
"MTC-10285","木材,655BC - 651BC"
"MTC-10286","木材,650BC - 646BC"
"MTC-10520","木材,645BC - 641BC"
"MTC-10521","木材,640BC - 636BC"
"MTC-10522","木材,635BC - 631BC"
"MTC-10523","木材,630BC - 626BC"
"MTC-10524","木材,625BC - 621BC"
"MTC-10525","木材,620BC - 616BC"
"MTC-10526","木材,615BC - 611BC"
"MTC-10527","木材,610BC - 606BC"
"MTC-10528","木材,605BC - 601BC"
"MTC-10529","木材,600BC - 596BC"
"MTC-10530","木材,595BC - 591BC"
"MTC-10531","木材,590BC - 586BC"
"MTC-10532","木材,585BC - 581BC"
"MTC-10533","木材,580BC - 576BC"
"MTC-10534","木材,575BC - 571BC"
"MTC-10535","木材,570BC - 566BC"
"MTC-10536","木材,565BC - 561BC"
"MTC-10537","木材,560BC - 556BC"
"MTC-10538","木材,555BC - 551BC"
"MTC-10539","木材,550BC - 546BC"
"MTC-10540","木材,545BC - 541BC"
"MTC-10541","木材,540BC - 536BC"
"MTC-10542","木材,535BC - 531BC"
"MTC-10543","木材,530BC - 526BC"
"MTC-10544","木材,525BC - 521BC"
"MTC-10545","木材,520BC - 516BC"
"MTC-10546","木材,515BC - 511BC"
"MTC-10617","----, GP-005, HDDATE-009"
"MTC-10618","----, GP-006, HDDATE-010"
"MTC-10619","----, GP-007, HDDATE-011"
"MTC-10620","----, GP-008, HDDATE-012"
"MTC-10621","----, GP-010, HDDATE-013"
"MTC-10622","----, GP-011, HDDATE-014"
"MTC-10623","----, GP-013, HDDATE-015"
"MTC-10624","----, GP-014, HDDATE-016"
"MTC-10625","----, GP-015, HDDATE-017"
"MTC-10627","----, GP-016, HDDATE-018"
"MTC-10628","----, GP-017, HDDATE-019"
"MTC-10629","----, GP-018, HDDATE-020"
"MTC-10630","----, GP-019, HDDATE-021"
"MTC-10631","----, GP-022, HDDATE-022"
"MTC-10632","----, GP-023, HDDATE-023"
"MTC-10670","20次SK215土坑2,No.2"
"MTC-10672","20次SK215土坑2,No.2"
"MTC-10944","6区　SB27, SB27住居跡"
"MTC-10945","10区　SK1305　墓壙, SK1305土坑"
"MTC-10946","SK1305土坑, 10区　SK1305　墓壙"
"MTC-10947","SK115土坑, 10区　SK115　墓壙"
"MTC-10948","10区　SK115　墓壙, SK115土坑"
"MTC-10949","10区　SK115　墓壙, SK115土坑"
"MTC-10963","2号住居"
"MTC-10973","10区　SK115　墓壙, SK115土坑"
"MTC-10974","Y13号住居跡,旧16住居跡,ピット9,土壌サンプル1層"
"MTC-10975","Y43号住居跡,旧31住居跡,炉No1,燃焼面,覆土"
"MTC-10976","Y55号住居跡,旧46住居跡,炉址掘り方"
"MTC-10977","Y144号住居跡,旧58住居跡,貯蔵穴"
"MTC-10978","Y147号住居跡,旧59住居跡"
"MTC-10979","Y126号住居跡,旧65住居跡,ピット5(柱穴),上層"
"MTC-10980","Y32号住居跡,旧65住居跡,炉址内"
"MTC-10981","Y34号住居跡,旧68住居跡,炉址セクション"
"MTC-10982","Y124号住居跡,旧16住居跡,炉址覆土"
"MTC-10983","Y121号住居跡,旧119住居跡,ピット1,2"
"MTC-10984","Y57号住居跡,旧120住居跡,ピット8"
"MTC-10985","Y62号住居跡,旧149住居跡,炉址"
"MTC-10986","Y111号住居跡,旧165住居跡,第2床面セクション b-b’"
"MTC-10990","試料採取年輪位置（中心=1）:105"
"MTC-10994","SE008"
"MTC-10998","4住,火災住炭化材No.25"
"MTC-10999","4住,火災住,41P-3甕内炭化物"
"MTC-11002","----"
"MTC-11003","----"
"MTC-11037","18号住居跡　覆土上層"
"MTC-11282","45号住居　柱状サンプル　Acute8,3e層"
"MTC-11283","45号住居　1b層下部"
"MTC-11284","45号住居　3a層"
"MTC-11285","45号住居　3a層"
"MTC-11286","45号住居　1b層"
"MTC-11287","45号住居　2a層"
"MTC-11288","45号住居　2b層"
"MTC-11289","45号住居　床"
"MTC-11290","45号住居　Pit6"
"MTC-11291","45号住居　セク1c-2a層上面"
"MTC-11292","SK101-1層"
"MTC-11305","18号住居跡　覆土上層"
"MTC-11306","18号住居跡　覆土上層"
"MTC-11308","18号住居跡　覆土上層"
"MTC-11309","18号住居跡　覆土上層"
"MTC-11310","18号住居跡　覆土上層"
"MTC-11311","18号住居跡　覆土下層"
"MTC-11312","18号住居跡　埋甕堀込み面"
"MTC-11313","18号住居跡　床面(炉の横)"
"MTC-11507","土坑"
"MTC-11508","土坑"
"MTC-11825","木材,339BC - 336BC"
"MTC-11826","木材,335BC - 331BC"
"MTC-11827","木材,330BC - 326BC"
"MTC-11828","木材,325BC - 321BC"
"MTC-11829","木材,320BC - 316BC"
"MTC-11830","木材,315BC - 311BC"
"MTC-11831","木材,310BC - 306BC"
"MTC-11832","木材,305BC - 301BC"
"MTC-11833","木材,300BC - 296BC"
"MTC-11834","木材,295BC - 291BC"
"MTC-11835","木材,290BC - 286BC"
"MTC-11836","木材,285BC - 281BC"
"MTC-11837","木材,280BC - 276BC"
"MTC-11838","木材,275BC - 271BC"
"MTC-11839","木材,270BC - 266BC"
"MTC-11840","木材,265BC - 261BC"
"MTC-11841","木材,260BC - 256BC"
"MTC-11843","木材,250BC - 246BC"
"MTC-11844","木材,245BC - 241BC"
"MTC-118442","木材,255BC - 251BC"
"MTC-11845","木材,240BC - 236BC"
"MTC-11846","木材,235BC - 231BC"
"MTC-11847","木材,230BC - 226BC"
"MTC-11848","木材,230BC - 226BC"
"MTC-11849","木材,225BC - 221BC"
"MTC-11850","木材,220BC - 216BC"
"MTC-11851","木材,215BC - 211BC"
"MTC-11852","木材,210BC - 206BC"
"MTC-11853","木材,205BC - 204BC"
"MTC-11854","----"
"MTC-11855","----"
"MTC-11856","----"
"MTC-11857","----"
"MTC-11858","----"
"MTC-11859","----"
"MTC-11860","----"
"MTC-11861","----"
"MTC-11862","----"
"MTC-11863","----"
"MTC-11864","----"
"MTC-11865","----"
"MTC-11866","----"
"MTC-11867","----"
"MTC-11868","----"
"MTC-11926","----"
"MTC-11927","----"
"MTC-11944","11住居跡,床　種子集中（ダイズ）（岡山県183報告2004年20図-24頁)"
"MTC-12210","31住居跡,焼失住居,多量遺存の焼米（中国自動車道5（岡山県8,1975年-392頁）"
"MTC-12821","SIG1005　人骨のホール"
"MTC-13229","SIG1003　礫のホール"
"MTC-13627","F12区　Ⅱ層"
"MTC-13628","G12区　Ⅱ層"
"MTC-14713","調査区I　SAO-033　C8　A層　"
"MTC-14714","調査区I  SAO-061　G3　3層上面　ⅢA層(Ⅲ上層)"
"MTC-14715","調査区I  SAO-089　H5　3層　ⅢA層(Ⅲ上層)"
"MTC-14716","調査区I  SAO-104　G2　3層　ⅢA層(Ⅲ上層)"
"MTC-14717","調査区I  SAO-106　G2　3層　ⅢA層(Ⅲ上層)"
"MTC-14718","調査区I　№2　D･E3(SF1)　2D層　I層"
"MTC-16873","2012年度調査　ブロック3外縁部、Ⅲ層中部　包含層, 12YZ-2"
"MTC-16874","2012年度調査　ブロック3外縁部、Ⅲ層中部　包含層, 12YZ-4"
"MTC-16902","I区　通番:3　SKT-t12　FS層上部"
"MTC-16907","Ⅱ区　通番:20　SAK-t9　ⅣC層"
"MTC-17765","試料番号:SEN-SB07O　№19-1"
"MTC-17766","試料番号:SEN-SB07I　№19-1"
"MTC-17767","試料番号:SEN-SB16I　№19-3"
"MTC-17927","Ⅱ区　通番:8　SAK1390-1　ⅣA層, SAK1390-1　Ⅱ区　ⅣA層　№1390土器に付着していた土壌中の炭化物"
"MTC-17928","SAK1390-2　Ⅱ区　ⅣA層　№1390土器に付着していた土壌中の炭化物, Ⅱ区　通番:7　SAK1390-2　ⅣA層"
"MTC-60380","第5号トチ塚覆土①エタノールシーラー"
"MTC-6582","9号土坑"
"MTC-6993","T9北2東拡張区　水辺遺構(中枢部)　底"
"MTC-7412","貝14"
"MTC-7413","貝18①"
"N-1115","1号住居跡"
"N-1116","15号住居跡"
"N-1117","22号住居跡"
"N-1154","外部周辺築地の下に堆積　地表下230〜225cm"
"N-1155","外部周辺築地の下に堆積　地表下170〜165cm"
"N-130","3号古窯"
"N-131","1号古窯"
"N-1429","29号住居跡床面"
"N-1430","30号住居跡落込貝層内"
"N-1431","21号住居跡床面"
"N-1561","遺跡の立地する傾位段丘面の凹地に田遺跡"
"N-1625","3号址"
"N-1626","3号址"
"N-1627","6号址"
"N-1885","4A住居址"
"N-1886","5D住居址"
"Ｎ-2062","住居址出土"
"N-2098","201号竪穴"
"N-2099","201号竪穴"
"N-2100","第2号竪穴住居跡中央部"
"N-2136","DⅥ-d2"
"N-2137","DⅥ-d3"
"N-2138","第102号竪穴住居跡"
"N-2172","B9号墳南裾第2ピット"
"N-2173","B9号墳南裾第3ピット"
"N-2309","縄文時代晩期遺物包含層中"
"N-2310","縄文時代晩期遺物包含層中"
"N-2311","縄文時代晩期遺物包含層中"
"N-2312","縄文時代晩期遺物包含層中"
"N-2404","KB-030-017, №121　東西貝塚共通"
"Ｎ-2719","沈目立山1　15号甕棺横の焼土"
"Ｎ-2720","沈目立山2　4号溝の北側焼土"
"N-2959","床面炭化材B群5"
"N-2990","Ⅰb層"
"N-2991","Ⅱa層"
"N-2992","Ⅱa層"
"Ｎ-3050","Ｃ地区　7-ホＬ-10ピット"
"Ｎ-3051","Ｃ地区　7-ホＬ-1ピット"
"N-3100","土層内　Ⅲa層, C-6区-3a中位出土　№6"
"N-3101","E-5Ⅲ-４b層№9　, 土層内　Ⅳb層"
"N-3204","Ⅱa層"
"N-3319","6号住居址"
"N-3332","DⅤ-1住居址　床面"
"N-3333","EⅤ-1住居址　床面"
"N-3334","HⅣ-1住居址　床面直上"
"N-3376","炉穴　Ⅲ層"
"N-3377","炉穴　Ⅲ層"
"N-3484","第9号土坑内層"
"N-3588","環濠F-8区中層部"
"N-3589","Y-6号住居址中層部"
"N-3758","15地区　0/30"
"N-3770","H69"
"N-3771","H75"
"N-3805","依頼者コード:Hog-6　焚き火跡　Ⅱ層最下面　ホゲット石鍋製作所遺跡代6製作跡"
"N-3806","依頼者コード:Hog-6　焚き火跡　Ⅱ層最下面　ホゲット石鍋製作所遺跡代6製作跡"
"N-3925","集石　Ⅲc層, 加治屋園№3　Ⅲc層　集石"
"N-3940","№2炉穴　Ⅲ層, 第Ⅲ層b層面　炉跡(№2)"
"N-4132","SI023"
"N-4133","SI001"
"N-4134","第1号土壙"
"N-4135","第10号土壙"
"N-4136","第1号住居跡"
"N-4144","SI002　床面"
"N-4186","Y-1号住居址東壁床面密着"
"N-4229","C-I-④区　第8層,夜臼単純層期"
"N-4230","C-I-④区　第10〜11層,山ノ寺式"
"N-4373","DC13-1ピット"
"N-4374","DC16-1住居跡"
"N-4375","DA10-1住居跡"
"N-4377","CⅠ-1住居址"
"N-4378","CⅠ-3住居址"
"N-4397","FⅡ-3住居址　埋土下位"
"N-4398","FⅡ-4住居址　床面上"
"N-4399","FⅡ-5住居址　床面及び炉周辺"
"N-4400","FⅡ-6住居址　床面上"
"N-4401","FⅡ-7住居址とFⅡ-9住居址の中間"
"N-4402","FⅡ-9住居址･床面上"
"N-4403","FⅡ-9住居址･床面上"
"N-4404","FⅡ-9住居址･床面上"
"N-4405","FⅡ-5住居址付属張り出し部　床面上"
"N-4430","2号住居　炉　堆積土"
"N-4431","7号土壙　堆積土"
"N-4432","2号埋設土器　埋土"
"N-4433","1号住居　床面"
"N-4434","西平坦面　西側施設　底面"
"N-4449","SI003"
"N-4500","C10"
"N-4501","D1"
"N-4502","A列"
"N-4558","2号住居跡"
"N-4559","2号住居跡"
"N-4560","5号住居跡"
"N-4561","5号住居跡"
"N-4562","6号住居跡"
"N-4563","6号住居跡"
"N-4564","11号住居跡"
"N-4565","12号住居跡"
"N-4566","1号環濠"
"N-4567","1号環濠"
"N-4568","2号環濠"
"N-4569","67号土壙"
"N-4570","64号土壙"
"N-4571","64号土壙"
"N-4572","90号土壙"
"N-4573","78号土壙"
"N-4574","111号土壙"
"N-4575","P13"
"N-4576","P6"
"N-4577","P2"
"N-4598","H-I-4　12層"
"N-4599","H-I-4　8上層"
"N-4600","H-I-4　8下層"
"N-4611","4号墳周溝内　ローム直上"
"N-4676","第94号竪穴住居跡内中央部　床直上"
"N-4677","第103号竪穴石囲炉付近　第5層"
"N-4678","第21号竪穴住居跡　床直上"
"N-4679","第62F号竪穴住居跡　炉上面"
"N-4694","Ⅷ　Ho"
"N-4695","Ⅸ　Hc"
"N-4696","Ⅷ　Ga"
"N-4783","NY-3号住居跡　柱穴中出土"
"N-4798","埋没谷　第2トレンチ第10層中央部　倒木"
"N-4829","Ⅰ-B,　Ⅲ層　"
"N-4830","Ⅰ-B,　Ⅱ層　"
"N-4833","Ⅰ-D,　Ⅸ層"
"N-4834","Ⅰ-D,　Ⅷ層"
"N-4835","Ⅰ-D,　Ⅷ層"
"N-4837","Ⅰ-E,　Ⅺ層"
"N-4857","C地点B区　4層"
"N-4858","C地点G区　11層"
"N-4859","C地点C区　4層"
"N-4860","C地点G区　12層"
"N-4902","SS3 3号住居址"
"N-4903","SS3 3号住居址"
"N-4905","Ⅴ-3,　上層"
"N-4906","Ⅴ-3,　下層"
"N-4907","集石土壙1"
"N-4949","手広第1層(本論層序では、第3層)"
"N-4950","手広第2層(本論層序では、第5層)"
"N-4951","手広第3層(本論層序では、第6層)"
"N-4952","手広第4層(本論層序では、第9層)"
"N-4953","手広第5層(本論層序では、第11層)"
"N-4954","手広第6層(本論層序では、第13層)"
"N-4955","手広第7層(本論層序では、第14層)"
"N-4956","手広粘土層"
"N-4957","第2層"
"N-4997","1号土坑　l2"
"N-4998","13号土坑　l6"
"N-5007","依頼者のコード:T-1(O11トレンチ第1号貯蔵穴)"
"N-5008","依頼者のコード:T-2(O11トレンチ第2号貯蔵穴)"
"N-5009","依頼者のコード:T-3(O12トレンチ第2a層)"
"N-5010","依頼者のコード:T-4(O6トレンチ柱穴3A）"
"N-5011","依頼者のコード:T-5(M52トレンチ第6層)"
"N-5012","依頼者のコード:T-6(M50トレンチ第6層ピット)"
"N-5013","依頼者のコード:T-7(O785-1トレンチ第2層)"
"N-5014","依頼者のコード:T-8(下中野地区)"
"N-5089","ボーリング調査C-17地点　標高7.96m　"
"N-5090","ボーリング調査C-17地点　標高7.46m　"
"N-5091","ボーリング調査C-17地点　標高6.96m　"
"N-5094","ボーリング調査C-17地点　標高4.96m　"
"N-5095","ボーリング調査C-17地点　標高4.46m　"
"N-5127","基本層位13b層"
"N-5130","火山灰直上の基本層位31層"
"N-5136","基本層位15層"
"N-5137","基本層位16a層"
"N-5138","基本層位16b層"
"N-5139","基本層位17層"
"N-5156","第6号土坑"
"N-5229","第6号土坑"
"N-5284","D1区　第215号土壙　中位"
"N-5285","D1区　Pit20中央　中位"
"N-5286","D1区　第258号土壙　中位"
"N-5292","第15号住居址　炉址"
"N-5296","木片のサンプル"
"N-5309","I区　KY-I-S2"
"N-5355","S1号集石土坑"
"N-5356","S2号集石土坑"
"N-5357","S3号集石土坑"
"N-5358","S4号集石土坑"
"N-5359","S5号集石土坑"
"N-5372","Ⅲ区11号竪穴住居跡　依頼者コード:KOF5-1№9"
"N-5373","Ⅲ区13号竪穴住居跡　依頼者コード:KOF5-2№10"
"N-5376","依頼者のコード:KOF7-1　№13"
"N-5377","依頼者のコード:KOF7-2　№14"
"N-5378","依頼者のコード:KOF7-3　№15"
"N-5379","依頼者のコード:KOF7-4　№16"
"N-5381","Ⅱ区第1号火葬墓　依頼者のコード:KOF9　№18"
"N-5382","3号土坑上層　依頼者のコード:KOF10　№19　"
"N-5383","8号墓　KOF11-1　№20"
"N-5384","6号住居跡覆土　KOF11-2　№21"
"N-5386","1号住居跡床面出土炭化板材"
"N-5387","1号土壌出土炭化物(消し炭状)"
"N-5446","谷部第10層(Ah)"
"N-5533","第1号住居址"
"N-5610","北条丸南虎口通路遺構面"
"N-5613","第10号柱穴"
"N-5614","第2号墓"
"N-5615","第2号土坑"
"N-5693","1区谷No.467第1ステージ　立木"
"N-5694","1区谷NO.464第1ステージ(流木)"
"N-5695","1区谷　東壁セクション31層"
"N-5747","2号水田址　水田層19a層"
"N-5748","2号水田址　水田層19a層と同層準址考えられる西側の地層"
"N-5807","Fトレンチ9層"
"N-5808","Fトレンチ11層"
"N-5809","Fトレンチ14層"
"N-5816","拡張調査区　木杭"
"N-5817","拡張調査区　木杭"
"N-5818","拡張調査区　木杭"
"N-5819","拡張調査区　木杭"
"N-5820","拡張調査区　木杭"
"N-5826","Fトレンチ18層　木製品"
"N-5827","拡張調査区　木杭"
"N-5828","拡張調査区　木杭"
"N-5829","拡張調査区　木杭"
"N-5830","拡張調査区　木杭"
"N-5968","SYG-№1　　1区方形土壙内"
"N-5969","SYG-№2　　1区方形土壙内"
"N-5970","SYG-№3　　1区方形土壙内"
"N-6014","依頼者コード:FT1-1　＜1号炉跡炉底部＞"
"N-6015","依頼者コード:FT1-2　＜1号炉東土壙下層＞"
"N-6016","依頼者コード:FT1-3　＜2号窯前庭部＞"
"N-6017","依頼者コード:FT1-4　＜5号窯焚口付近＞"
"N-6081","№1　 床釣り部木炭層　第1炉炉床材"
"N-6122","6号火葬墓"
"N-6123","16号火葬墓"
"N-6124","21号火葬墓"
"N-6125","24号火葬墓"
"N-6126","36号火葬墓"
"N-6127","37号火葬墓"
"N-6128","45号火葬墓"
"N-6129","59号火葬墓"
"N-6130","61号火葬墓"
"N-6131","78号火葬墓"
"N-6132","84号火葬墓"
"N-6133","88号火葬墓"
"N-6134","5号火葬墓"
"N-6135","Ⅰ郭とⅡ郭間の堀にかかる土橋下部の石組(SR11下石組)"
"N-6136","1号墓"
"N-6189","第11号住居址"
"N-6191","F-3グリッド"
"N-6193","3号方形周溝墓"
"N-6194","D-3グリッド"
"N-6195","F-3グリッド"
"N-6324","Ⅳ区　SR01　流木"
"N-6343","野上田7-杭"
"N-6414","1号住居跡"
"N-6456","柱"
"N-6457","柱"
"N-6458","柱"
"N-6459","柱"
"N-6460","柱"
"N-6461","礎盤"
"N-6462","柱"
"N-6463","不明"
"N-6507","12号住居址"
"N-6508","6号住居址"
"N-6509","13号住居址"
"N-6510","21号住居址"
"N-6511","20号住居址"
"N-6512","25号住居址"
"N-6513","17号住居址"
"N-6515","旧表土面"
"N-6516","旧表土面"
"N-6517","搦手文台4号柱穴"
"N-6518","本丸東第6区画堀底"
"N-933","4号址"
"N-934","4号址"
"N-935","7号址"
"N-936","10号址"
"N-939","A地区東南部　丸柱片"
"N-940","A地区第9号址　人焼骨ピット内"
"NU-1070","6号住居(焼失住居)"
"NU-128","地点1　上部層最下部(深度90cm-100cm)"
"NU-129","地点2　深度73-80cm"
"NU-130","地点2　深度130-140cm"
"NU-131","地点2　深度218-223cm"
"NU-132","地点2　深度250-255cm"
"NU-133","地点3　深度190-195cm"
"NU-1402","第10次調査　SI1007"
"NU-1404","第10次調査　SI1020"
"NU-1405","第10次調査　SI1020"
"NU-1406","第10次調査　SI1015"
"NU-1407","SI10"
"NU-1408","SI14"
"NU-1409","SI45"
"NU-1410","SI18"
"NU-1443","SK18"
"NU-1444","SK19"
"NU-1445","SK26"
"NU-1446","SK33 No.10"
"NU-1447","SK41 No.28"
"NU-1448","SK41 No.29"
"NU-2122","M-1　盛土, SMH1-51"
"NU-2123","H-3　覆土, SMH1-53"
"NU-2124","H-12　覆土5, SMH1-56"
"NU-2125","H-12　覆土5, SMH1-57"
"NU-2126","H-14 HM2, SMH1-59"
"NU-2127","H-14 HM2, SMH1-61"
"NU-2128","H-15 HM2, SMH1-66"
"NU-2129","H-23　覆土, SMH1-71"
"NU-2130","H-26 HM, SMH1-74"
"NU-2131","H-33　覆土３, SMH1-80"
"NU-274","No.1-A地点　旧河道中央屈曲部北部　J1-3亜層"
"NU-276","No.1-A地点　旧河道Ⅲ−Ⅲ'セクション　J1-1亜層"
"NU-466","泥炭層　上部試料"
"NU-467","泥炭層　下部試料"
"NU-617","No.6地点　東壁セクション　C1亜層"
"NU-618","No.5地点"
"NU-620","No.5地点"
"NU-621","No.5地点"
"NU-622","No.5地点　11トレンチ　A3亜層"
"NU-623","No.5地点　11トレンチ　B3亜層上部"
"NU-624","No.7地点　Kトレンチ　A5亜層"
"NU-625","No.7地点　Kトレンチ　B3亜層下部"
"NU-626","No.7地点　Kトレンチ　C層"
"NUTA-1023","土壙3　ツチノコ(もじり編み陽木製錘)"
"NUTA-1115","不明"
"NUTA-12448","遺物№:14223 J-10　Ⅶ層④"
"NUTA-12449","遺物№:14227 J-10　Ⅶ層④　43号集石下"
"NUTA-1277","第15号貯蔵穴　最下層"
"NUTA-1302","第8号貯蔵穴　下層"
"NUTA-1343","第6号貯蔵穴　15層"
"NUTA-1657","土器片内面付着"
"NUTA-1726","63A1区･旧河道(谷A)　海抜-20.0〜-22.5m"
"NUTA-1727","63A1区･旧河道(谷A)　海抜-7.5〜-5.0m"
"NUTA-1728","63A1区･旧河道(谷A)　海抜5.0〜7.5m"
"NUTA-1729","63A1区･旧河道(谷A)　海抜10.0〜12.5m"
"NUTA-1730","住居跡21　炉内Pit　"
"NUTA-1731","住居跡検出値周辺の穴(No.257)埋積土から水洗選別　"
"NUTA-1732","63A1区･旧河道(谷A)　海抜35.0〜37.5m"
"NUTA-2364","FⅡ層　1/2区　杭"
"NUTA-2365","FⅡ層　7区　木片"
"NUTA-2480","DⅢ層　4区　杭"
"NUTA-2485","GⅢ層　下部　6/7区第1地点　泥炭層中"
"NUTA-2486","GⅡ層　下部　6/7区第1地点　泥炭層中"
"NUTA-2487","GⅠ層　下部　6/7区第1地点　泥炭層中"
"NUTA-2488","FⅠ-1層　下部　6/7区第4地点　泥炭層中"
"NUTA-2489","DⅡ-2層　下部　6/7区第1地点　泥炭層中"
"NUTA-2490","DⅡ-1層　下部　6/7区第4地点　泥炭層中"
"NUTA-2491","DⅠ-1層　下部　6/7区第4地点　泥炭層中"
"NUTA-2574","貝層から10ｍ程離れた場所から出土"
"NUTA-3550","第1土坑　埋土1層"
"NUTA-3551","第1土坑　埋土1･2層"
"NUTA-3552","No.6トレンチ　4層ロ区"
"NUTA-3553","No.6トレンチ　4層ム区"
"NUTA-3662","第7層　湧水ポット　加工材"
"NUTA-3663","第7層　湧水ポット"
"NUTA-3668","杭列の割材"
"NUTA-3699","杭列の割材"
"NUTA-3700","杭列の割材"
"NUTA-4022","深度　＋41〜＋40cm"
"NUTA-4023","深度　＋25cm"
"NUTA-4074","井戸下位の底面　試料番号SE-2"
"NUTA-4293","深度　-51〜−52cm"
"NUTA-4488","③区　Ⅱ層(8b)、AWA-15"
"NUTA-4489","④区　Ⅳ層(34)、AWA-18"
"NUTA-4490","⑤区　Ⅷ層(100b)、AWA-20"
"NUTA-4591","③区　Ⅱ層(8b)、AWA-1"
"NUTA-4592","③区　Ⅲ層(85)、AWA-2"
"NUTA-4593","③区　Ⅴ層(110)、AWA-3"
"NUTA-4594","④区　Ⅳ層(34)、AWA-4"
"NUTA-4610","⑤区　Ⅷ層(100b)、AWA-6"
"NUTA-4611","③区　Ⅸ層(220)、AWA-7"
"NUTA-4612","③区　Ⅲ層(85)、AWA-16"
"NUTA-4613","⑤区　Ⅶ層(43)、AWA-19"
"NUTA-4646","深度　-20〜−22cm"
"NUTA-4675","深度　-14〜−15cm"
"NUTA-4694","深度　-82〜−83cm"
"NUTA-4784","黒色土，2層"
"NUTA-4807","黒色土，上面"
"NUTA-4832","③区　Ⅱ層(8b)、AWA-8"
"NUTA-4833","③区　Ⅲ層(85)、AWA-9"
"NUTA-4839","③区　Ⅴ層(110)、AWA-10"
"NUTA-4840","④区　Ⅳ層(34)、AWA-11"
"NUTA-4913","試料番号:17DRB02　　第2号貯蔵穴"
"NUTA-4914","試料番号:17DRB04　　第4号貯蔵穴"
"NUTA-4916","試料番号:17DRB13　　第13号貯蔵穴"
"NUTA-4919","試料番号:17DRB18　　第18号貯蔵穴"
"NUTA-4921","試料番号:17DRB20　　第20号貯蔵穴"
"NUTA-4937","28号土坑"
"NUTA-4938","44号土坑"
"NUTA-4939","62号土坑"
"NUTA-4944","焼土"
"NUTA-5026","試料番号:17DRB01　　第1号貯蔵穴"
"NUTA-5028","試料番号:17DRB14　　第14号貯蔵穴"
"NUTA-5077","⑤区　Ⅶ層(43)、AWA-12"
"NUTA-5078","⑤区　Ⅷ層(100b)、AWA-13"
"NUTA-5087","③区　Ⅸ層(220)、AWA-14"
"NUTA-5126","深度　-40cm"
"NUTA-5366","第6鉄塔地区　Ⅵa層"
"NUTA-5374","第6鉄塔地区　Ⅵa層"
"NUTA-5375","第6鉄塔地区　Ⅵa層"
